prompt,completion
we have arrived,otiacicoh
cave,oztotl
in the cave,oztoc
to wash,paca
to please,pactia
drugstore,pahcalli
pharmacist,pahpiani
to cure,pahti
to cure,pahtia
medicine,pahtli
to help,palehuia
wet,paltic
to invite someone in,panoltia
to wash,papaca
butterfly,papalotl
to tremble,papatlaca
to be happy,paqui
to fly,patlani
to squeeze,patzca
to start,pehua
to win,pehua
bed,petlatl
son,pilli
noble,pilli
son,piltzintli
thin,pitzahuac
pig,pitzotl
merchant,pochtecatl
smoke,poctli
to count,pohua
to smoke,popoca
to stink,potoni
yes,quema
how  ,quenin
how did it go,quenin otimohuicac
how much,quezqui
how many,quezqui
it is said,quilmach
mouse,quimichin
recently,quin axcan
later,quin tepan
to rain,quiyahui
rain,quiyahuitl
to go out,quiza
migration,quizaliztli
father,tahtli
tamal,tamalli
you,te
we,tech-
to grind,teci
owl,tecolotl
wild beast,tecuani
lord,tecuhtli
we,tehuan
why ,Teica
but,tel
college,telpochcalli
boy,telpochtli
teacher,temachtiani
horrible,temamauhti
steam bath,temazcalli
to descend,temo
to look for,temoa
temptation,teneyeyecoitiliztli
to breakfast,teniza
to kiss,tennamiqui
lip,tentli
moustache,tentzontli
temple,teocalli
gold  ,teocuitlatl
priest,teopixqui
wonderful,teotl
afternoon,teotlac
doctor,tepahtiani
hill,tepec
conquistador,tepehuani
at the hill,tepepan
mountain,tepetl
to worry,tequipachoa
to work,tequipanoa
stone,tetl
tejocote ,texocotl
tejocote jam,texocotzopelloti
you ,ti-
doctor,ticitl
to send,titlani
afternoon,tlaca
to procreate,tlacachihua
to obey,tlacamati
obeyance,tlacamatli
devil,tlacatecolotl
to get pregnant,tlacatilia
person,tlacatl
to look,tlachia
to sweep,tlachpana
to eat,tlacua
kitchen,tlacualchihualoyan
food,tlacualli
diner,tlacualoyan
to feed,tlacualtia
offense,tlahtlacolli
uncle,tlahtli
to talk,tlahtoa
king,tlahtoani
kingdom,tlahtocayotl
language,tlahtolli
nobles,tlahtoque
light,tlahuilli
to put,tlalia
at or on the earth,tlalticpac
pupil,tlamachtilli
to swim,tlamaneloa
wise person,tlamatini
to finish,tlami
dawn,tlaneci
will,tlanequiliztli
tooth,tlantli
sad,tlaocoya
corn,tlaolli
to greet,tlapaloa
to go to greet someone,tlapalotiuh
to open,tlapoa
to forgive,tlapopolhuia
clothes,tlaquemitl
dawn,tlathui
to burn,tlatla
to offense,tlatlacalhuia
to ask ,tlatlani
firewood,tlatlatilcuahuitl
patrimony,tlatquitl
door,tlatzacuillotl
to meow,tlatzomia
to make tortillas,tlaxcalchihua
tortillas,tlaxcalli
to make bread,tlaxcalmana
to bring down,tlaza
thanks,tlazocamati
to love,tlazohtla
garbage,tlazolli
why not ,tle inic amo
why ,tle ipampa
why ,tleca
to climb,tleco
stove,tlecuil
on the stove,tlecuilco
stove,tlecuilli
what,tlen
fire,tletl
to sow,toca
to bury,toca
name,tocaitl
spider,tocatl
rabbit,tochtli
wise one,toltecatl
day,tonalli
to hurt,tonehua
we need,totechmonequi
chicken soup,totolayotl
turkey,totolin
bird,tototl
throat,tozquitl
to scream,tzatzi
head,tzontecomatl
hair,tzontli
sweet,tzopelic
face,xayacatl
herb,xihuitl
seed,xinachtli
bag,xiquipiltontli
tomato,xitomatl
the smallest,xocoyotzin
onion,xonacatl
get in,xoncalaqui
green,xoxoctic
nose,yacatl
new,yancuic
to go,yauh
ready,ye
it's late,ye tlaca
he,ye
right side,yec
to understand,yeccaqui
though,yeceh
to bless,yectenehua
good,yectli
they,yehuan
three,yei
it's night,yetiayohuac
night,yohuac
at night,yohualtica
insect,yolcatl
to live,yoli
heart,yollotl
to be happy,yolpaqui
like this,yuhquin
right away,zan niman
just a little,zan tepitzin
later,zatepan
lastly,zatlatzonco
fly insect,zayolin
story,zazanilli
codorniz,zolin
in the mud,zoquipan
mud,zoquitl
muddy,zoquiyo
